ID,group,juvenile
Annemys.stl,Others,no
ApaloneFMNH22178.stl,Trionychia,no
ApaloneR12970.stl,Trionychia,yes
CarettaNHMUK1940.stl,Durocryptodira,no
CarettaIW1681.stl,Durocryptodira,yes
Carettochelys.stl,Trionychia,no
Chelodina.stl,Pleurodira,no
Chelonia.stl,Durocryptodira,no
ChelydraUFRVP1.stl,Durocryptodira,no
ChelydraR14442.stl,Durocryptodira,yes
CuoraNHMUK69.stl,Durocryptodira,no
CuoraSMNS4867.stl,Durocryptodira,yes
EmyduraIW92.stl,Pleurodira,yes
Emydura.stl,Pleurodira,no
Emys.stl,Durocryptodira,no
EmysSMNS11390.stl,Durocryptodira,yes
Eubaena.stl,Others,no
KinosternonFMNH211711.stl,Durocryptodira,no
KinosternonR10089.stl,Durocryptodira,no
Macrochelys.stl,Durocryptodira,no
Malacochersus.stl,Durocryptodira,no
Naomichelys.stl,Others,no
Pelodiscus.stl,Trionychia,no
Pelusios.stl,Pleurodira,yes
PlatysternonR12559.stl,Durocryptodira,no
Platysternon.stl,Durocryptodira,no
PodocnemisSMNS6063.stl,Pleurodira,yes
Podocnemis.stl,Pleurodira,no
Proganochelys.stl,Others,no
Rhinochelys.stl,Durocryptodira,no
Sandownia.stl,Others,no
Xinjiangchelys.stl,Others,no
