ID;specimen;group;Testudines;juvenile
Apalone_spinifera_1;FMNH22178;Trionychia;crown;no
Caretta_caretta_1;NHMUK19403151;Chelonioidea;crown;no
Chelydra_serpentina_1;UFRVP1;Chelydroidea;crown;no
Emys_orbicularis_1;WGJ1987a;Testudinoidea;crown;no
Emydura_subglobosa_1;PIMUZ200937;Chelidae;crown;no
Emydura_subglobosa_2;IW92;Chelidae;crown;yes
Apalone_spinifera_2;R12970;Trionychia;crown;yes
Caretta_caretta_2;IW1681;Chelonioidea;crown;yes
Chelydra_serpentina_2;R14442;Chelydroidea;crown;yes
Cuora_amboinensis_1;NHMUK69421454;Testudinoidea;crown;no
Cuora_amboinensis_2;SMNS48672;Testudinoidea;crown;yes
Emys_orbicularis_2;SMNS11390;Testudinoidea;crown;yes
