;cML;cWOB;cWCH;cWOR;cWIE;cVWMO;cHOB;cHCH;cHOR;cHP;cHPE
Annemys_sp;0.697905759;0.186649215;0.254712042;0.263089005;0.160732984;0.193193717;0.108376963;0.147905759;0.154712042;0.034816754;0.120680628
Apalone_spinifera_you;0.966477273;0.296590909;0.617045455;0.242045455;0.160227273;0.265340909;0.175;0.373863636;0.359659091;0.048863636;0.203977273
Caretta_caretta_old;0.799857381;0.1794628;0.247444735;0.172094129;0.173758022;0.076776801;0.157356786;0.305443309;0.333729498;0.053244592;0.216781555
Caretta_caretta_you;0.706040268;0.242281879;0.412080537;0.281879195;0.218120805;0.238255034;0.087919463;0.212080537;0.269127517;0.072483221;0.104697987
Carettochelys_insculpta;0.940064103;0.265064103;0.470192308;0.258333333;0.122435897;0.182692308;0.13974359;0.278205128;0.293910256;0.054487179;0.142948718
Chelydra_serpentina_old;0.60872093;0.063139535;0.163372093;0.189302326;0.122674419;0.095;0.09744186;0.205232558;0.197093023;0.020930233;0.118372093
Chelydra_serpentina_you;0.873809524;0.246825397;0.434920635;0.305555556;0.180952381;0.234126984;0.092857143;0.321428571;0.349206349;0.05;0.177777778
Cuora_amboinensis_old;1.013134058;0.217391304;0.5;0.232789855;0.195199275;0.225996377;0.158514493;0.294384058;0.269021739;0.050724638;0.204710145
Cuora_amboinensis_you;1.084444444;0.226666667;0.592222222;0.322222222;0.213333333;0.246666667;0.158888889;0.425555556;0.421111111;0.064444444;0.252222222
Emydura_subglobosa_you;0.887719298;0.274561404;0.521929825;0.342982456;0.23245614;0.2;0.175438596;0.374561404;0.426315789;0.054385965;0.295614035
Emydura_subglobosa_old;5.548256285;1.441200324;2.876723439;1.925385239;1.304947283;1.719383617;0.923763179;1.99432279;2.057583131;0.315490673;1.495539335
Emys_orbicularis_old;2.746238716;0.650451354;1.279338014;0.596790371;0.519057172;0.601303912;0.307923771;0.874623872;0.945837513;0.169508526;0.764794383
Emys_orbicularis_you;0.975961538;0.363461538;0.591346154;0.322115385;0.277884615;0.283653846;0.123076923;0.360576923;0.425;0.049038462;0.207692308
Eubaena_cephalica;0.529346093;0.124401914;0.170972887;0.181020734;0.092822967;0.071770335;0.067623604;0.113397129;0.218979266;0.020574163;0.129027113
Kinosternon_subrubrum_old;0.804843305;0.197530864;0.366096866;0.170940171;0.092592593;0.145773979;0.128679962;0.285849953;0.291073124;0.033238367;0.194681861
Kinosternon_subrubrum_you;0.955629139;0.231125828;0.449668874;0.205298013;0.144370861;0.220529801;0.070198675;0.256291391;0.293377483;0.049006623;0.191390728
Malacochersus_tornieri;1.944939899;0.559519193;0.934082978;0.509499806;0.418379217;0.469561846;0.37378829;0.574253587;0.629701435;0.072508724;0.514152772
Naomichelys_speciosa;0.785731272;0.218549346;0.285850178;0.19548157;0.142330559;0.167657551;0.0921522;0.218787158;0.211533888;0.000118906;0.158858502
Pelodiscus_sinensis;2.003441156;0.294907089;0.756366139;0.30660702;0.207501721;0.332415692;0.33172746;0.396077082;0.365794907;0.073296628;0.346180317
Pelusios_niger;0.500537634;0.147311828;0.281182796;0.151612903;0.119892473;0.137634409;0.110215054;0.174731183;0.231182796;0.034408602;0.137634409
Platysternon_megacephalum_you;0.690657439;0.147058824;0.292387543;0.148096886;0.151211073;0.133564014;0.108650519;0.196193772;0.228719723;0.013148789;0.102422145
Platysternon_megacephalum_old;0.345987921;0.056255393;0.092666091;0.055910267;0.048144953;0.06419327;0.025884383;0.078170837;0.062985332;0.019672131;0.063675582
Podocnemis_erythrocephala;0.210739399;0.055188579;0.138930322;0.075644577;0.064777328;0.060089495;0.051353079;0.08288941;0.117835074;0.012145749;0.029405498
Podocnemis_unifilis;2.265263158;0.577894737;0.834736842;0.442105263;0.347368421;0.407368421;0.315789474;0.732631579;0.512631579;0.055789474;0.517894737
Proganochelys_quenstedti_old;0.573513514;0.099009009;0.097207207;0.083423423;0.084684685;0.109189189;0.09009009;0.124324324;0.18972973;0.012432432;0.125135135
Proganochelys_quenstedti_you;0.595853659;0.133902439;0.162195122;0.183414634;0.165487805;0.183902439;0.070731707;0.166829268;0.16597561;0.063536585;0.101463415
Rhinochelys_pulchriceps;1.609036145;0.442168675;0.524698795;0.354819277;0.275903614;0.448192771;0.209638554;0.630722892;0.730722892;0.120481928;0.542168675
Sandownia_harrisi;0.583061889;0.147394137;0.163355049;0.198534202;0.118078176;0.144788274;0.083387622;0.150162866;0.186319218;0.032736156;0.126058632
Xinjiangchelys_radiplicatoides;0.604;0.173333333;0.210666667;0.187111111;0.076888889;0.146888889;0.075111111;0.178222222;0.194222222;0.032;0.179777778
