ID;clade;specimen;juvenile;size;ML;WOB;WCH;WOR;WIE;VWMO;HOB;HCH;HOR;HP;HPE
Annemys;Xinjiangchelyidae;IVPPV18106;no;;26.66;7.13;9.73;10.05;6.14;7.38;4.14;5.65;5.91;1.33;4.61
Apalone_spinifera_1;Trionychia;FMNH22178;no;;36.29;8.32;16.69;6.02;5.1;6.3;6.62;10.66;9.97;2.19;8.45
Apalone_spinifera_2;Trionychia;R12970;yes;;17.01;5.22;10.86;4.26;2.82;4.67;3.08;6.58;6.33;0.86;3.59
Caretta_caretta_1;Chelonioidea;NHMUK19403151;no;;33.65;7.55;10.41;7.24;7.31;3.23;6.62;12.85;14.04;2.24;9.12
Caretta_caretta_2;Chelonioidea;IW1681;yes;;10.52;3.61;6.14;4.2;3.25;3.55;1.31;3.16;4.01;1.08;1.56
Carettochelys_insculpta;Trionychia;USNM327690;no;;29.33;8.27;14.67;8.06;3.82;5.7;4.36;8.68;9.17;1.7;4.46
Chelodina_reimanni;Chelidae;ZMBH49659;no;;52.27;11.41;22.42;15.56;7.26;10.64;7.66;16.63;17.84;3.24;12.22
Chelonia_mydas;Chelonioidea;ZMB37416MS;no;;96.06;21.51;28.7;27.8;18.33;20.86;13.52;52.87;41.99;5.72;30.35
Chelydra_serpentina_1;Chelydroidea;UFRVP1;no;;52.35;5.43;14.05;16.28;10.55;8.17;8.38;17.65;16.95;1.8;10.18
Chelydra_serpentina_2;Chelydroidea;R14442;yes;;11.01;3.11;5.48;3.85;2.28;2.95;1.17;4.05;4.4;0.63;2.24
Cuora_amboinensis_1;Testudinoidea;NHMUK69421454;no;;22.37;4.8;11.04;5.14;4.31;4.99;3.5;6.5;5.94;1.12;4.52
Cuora_amboinensis_2;Testudinoidea;SMNS48672;yes;;9.76;2.04;5.33;2.9;1.92;2.22;1.43;3.83;3.79;0.58;2.27
Emydura_subglobosa_2;Chelidae;IW92;yes;;10.12;3.13;5.95;3.91;2.65;2.28;2;4.27;4.86;0.62;3.37
Emydura_subglobosa_1;Chelidae;PIMUZ200937;no;;68.41;17.77;35.47;23.74;16.09;21.2;11.39;24.59;25.37;3.89;18.44
Emys_orbicularis_1;Testudinoidea;WGJ1987a;no;;54.76;12.97;25.51;11.9;10.35;11.99;6.14;17.44;18.86;3.38;15.25
Emys_orbicularis_2;Testudinoidea;SMNS11390;yes;;10.15;3.78;6.15;3.35;2.89;2.95;1.28;3.75;4.42;0.51;2.16
Eubaena_cephalica;Paracryptodira;DMNH96004;no;;33.19;7.8;10.72;11.35;5.82;4.5;4.24;7.11;13.73;1.29;8.09
Kinosternon_subrubrum_1;Chelydroidea;FMNH211711;no;;16.95;4.16;7.71;3.6;1.95;3.07;2.71;6.02;6.13;0.7;4.1
Kinosternon_subrubrum_2;Chelydroidea;R10089;no;;14.43;3.49;6.79;3.1;2.18;3.33;1.06;3.87;4.43;0.74;2.89
Macrochelys_temminckii;Chelydroidea;GPITRE10801;no;;43.14;5.56;12.17;8.58;6.46;6.65;6.06;12.87;12.98;0.78;7.25
Malacochersus_tornieri;Testudinoidea;SMF58702;no;;50.16;14.43;24.09;13.14;10.79;12.11;9.64;14.81;16.24;1.87;13.26
Naomichelys_speciosa;Helochelydridae;FMNHPR273;no;;66.08;18.38;24.04;16.44;11.97;14.1;7.75;18.4;17.79;0.01;13.36
Pelodiscus_sinensis;Trionychia;IW5762;no;;58.22;8.57;21.98;8.91;6.03;9.66;9.64;11.51;10.63;2.13;10.06
Pelusios_niger;Pelomedusoides;SMNS4625;yes;;9.31;2.74;5.23;2.82;2.23;2.56;2.05;3.25;4.3;0.64;2.56
Platysternon_megacephalum_2;Testudinoidea;R12559;no;;19.96;4.25;8.45;4.28;4.37;3.86;3.14;5.67;6.61;0.38;2.96
Platysternon_megacephalum_1;Testudinoidea;SMF69684;no;;20.05;3.26;5.37;3.24;2.79;3.72;1.5;4.53;3.65;1.14;3.69
Podocnemis_erythrocephala;Pelomedusoides;SMNS6063;no;;9.89;2.59;6.52;3.55;3.04;2.82;2.41;3.89;5.53;0.57;1.38
Podocnemis_unifilis;Pelomedusoides;SMF55470;yes;;21.52;5.49;7.93;4.2;3.3;3.87;3;6.96;4.87;0.53;4.92
Proganochelys_quenstedti_1;Proganochelyidae;MB1910452;no;;63.66;10.99;10.79;9.26;9.4;12.12;10;13.8;21.06;1.38;13.89
Proganochelys_quenstedti_2;Proganochelyidae;SMNS16980;no;;48.86;10.98;13.3;15.04;13.57;15.08;5.8;13.68;13.61;5.21;8.32
Rhinochelys_pulchriceps;Chelonioidea;CAMSMB55775;no;;26.71;7.34;8.71;5.89;4.58;7.44;3.48;10.47;12.13;2;9
Sandownia_harrisi;Angolachelonia;MIWG3480;no;;35.8;9.05;10.03;12.19;7.25;8.89;5.12;9.22;11.44;2.01;7.74
Xinjiangchelys_radiplicatoides;Xinjiangchelyidae;IVPPV9539;no;;27.18;7.8;9.48;8.42;3.46;6.61;3.38;8.02;8.74;1.44;8.09
